PA,PB
-2.919015362183657,-2.9363107311278895
-6.346706822432601,-6.211641556693085
-6.544646629817205,-6.533132728510179
-7.793850948553253,-7.708244141435745
-3.057906333861471,-3.045576216562388
-4.1385754781396535,-4.139626114893694
-7.541868753878649,-7.502444971851176
-4.383779911210613,-4.307923770878627
-4.371985648842074,-4.306980351994323
-5.880507840353179,-5.779793310038393
-4.776764059454013,-4.859352104587241
-4.743190251302558,-4.810020630453639
-6.192661443874044,-6.39735342021412
-6.203489189862612,-6.430910649503616
-6.487405963311659,-6.580917549816338
-7.719112806417495,-7.827753000905098
-3.032916640518984,-3.0769985670480686
-4.119965536004585,-4.164386423046743
-7.509729610089636,-7.562482210749955
-4.317281055214693,-4.409390638589393
-4.307562462522206,-4.399873064944963
-5.7817127016204815,-5.9853374193886175
-4.837500391577535,-4.770946644654263
-4.789583840367513,-4.735160416662552
-6.287289534624236,-6.216150082027845
-1.0266830547918033,-1.0254894340170964
-1.0307722041277465,-1.0188706862575962
-12.735068958451302,-12.713373176876726
